Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,14023015
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6531817
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,5504082
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3699895
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2634939
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,400284
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,509970
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,254578
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,381782
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,265690
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,243388
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,109601
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,141281
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,88691
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,46508
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,44459
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,31717
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,28239
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,21255
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,19554
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,11125
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2583
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,804
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1106
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,14033234
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,6533405
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,5508707
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3698307
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,2636131
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,399653
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,509979
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,253931
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,381768
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,265959
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,243641
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,109421
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,141259
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,88530
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,44397
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,31642
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,46493
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,28179
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,21223
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,19578
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,11135
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,2584
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,803
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,1106
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10553135,14045707
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5686170,6536441
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4256803,3696305
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,5514972
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2053135,2638220
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,524215,399206
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480477,510084
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,396298,253420
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369321,381812
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,195416,243813
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,157840,109247
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134214,141284
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122028,88409
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120438,266480
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60767,44338
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50897,31572
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,42180,28128
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31204,46547
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,13103,21252
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12822,19602
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5050,11156
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1968,2586
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,934,802
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,857,1106
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11867835,14053541
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6377710,6537011
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4228773,3694389
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3765337,5521265
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1993520,2640539
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,562555,398618
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488046,510163
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,414473,252840
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366698,381866
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,177326,244052
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,160144,109063
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,155368,141233
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,132252,88251
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89326,267117
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64969,44263
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,45238,31522
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44869,28067
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18500,46647
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13314,21280
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,13095,19625
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4419,11180
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1945,2588
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,991,801
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,858,1106
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,10295407,14067108
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5656319,6540190
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3416106,3695393
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2777212,5531171
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534560,2644531
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,512524,398206
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,429813,510453
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,375688,252396
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323630,382076
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,142612,141228
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,125669,244479
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123643,109010
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115624,88152
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75740,267807
